"Renewable energy share of electricity capacity and generation (%) by Region/country/area, Indicator and Year"

"Region/country/area","Indicator","Year",Renewable energy share of electricity capacity and generation (%)
"World","RE share of electricity capacity (%)","2000",22.01
"World","RE share of electricity capacity (%)","2001",22.05
"World","RE share of electricity capacity (%)","2002",21.84
"World","RE share of electricity capacity (%)","2003",21.77
"World","RE share of electricity capacity (%)","2004",21.91
"World","RE share of electricity capacity (%)","2005",22.10
"World","RE share of electricity capacity (%)","2006",22.13
"World","RE share of electricity capacity (%)","2007",22.36
"World","RE share of electricity capacity (%)","2008",22.91
"World","RE share of electricity capacity (%)","2009",23.63
"World","RE share of electricity capacity (%)","2010",24.16
"World","RE share of electricity capacity (%)","2011",25.06
"World","RE share of electricity capacity (%)","2012",26.10
"World","RE share of electricity capacity (%)","2013",27.20
"World","RE share of electricity capacity (%)","2014",28.21
"World","RE share of electricity capacity (%)","2015",29.47
"World","RE share of electricity capacity (%)","2016",30.81
"World","RE share of electricity capacity (%)","2017",32.08
"World","RE share of electricity capacity (%)","2018",33.07
"World","RE share of electricity capacity (%)","2019",34.51
"World","RE share of electricity capacity (%)","2020",36.51
"World","RE share of electricity capacity (%)","2021",38.31
"World","RE share of electricity capacity (%)","2022",40.19
"World","RE share of electricity capacity (%)","2023",43.04
"World","RE share of electricity capacity (%)","2024",46.23
"World","RE share of electricity generation (%)","2000",18.33
"World","RE share of electricity generation (%)","2001",17.85
"World","RE share of electricity generation (%)","2002",17.79
"World","RE share of electricity generation (%)","2003",17.32
"World","RE share of electricity generation (%)","2004",17.79
"World","RE share of electricity generation (%)","2005",17.92
"World","RE share of electricity generation (%)","2006",18.06
"World","RE share of electricity generation (%)","2007",17.85
"World","RE share of electricity generation (%)","2008",18.57
"World","RE share of electricity generation (%)","2009",19.32
"World","RE share of electricity generation (%)","2010",19.46
"World","RE share of electricity generation (%)","2011",19.81
"World","RE share of electricity generation (%)","2012",20.83
"World","RE share of electricity generation (%)","2013",21.43
"World","RE share of electricity generation (%)","2014",22.25
"World","RE share of electricity generation (%)","2015",22.73
"World","RE share of electricity generation (%)","2016",23.57
"World","RE share of electricity generation (%)","2017",24.25
"World","RE share of electricity generation (%)","2018",24.87
"World","RE share of electricity generation (%)","2019",25.84
"World","RE share of electricity generation (%)","2020",27.62
"World","RE share of electricity generation (%)","2021",27.75
"World","RE share of electricity generation (%)","2022",29.01
"World","RE share of electricity generation (%)","2023",29.89
"World","RE share of electricity generation (%)","2024",-
"Africa","RE share of electricity capacity (%)","2000",22.44
"Africa","RE share of electricity capacity (%)","2001",22.04
"Africa","RE share of electricity capacity (%)","2002",22.08
"Africa","RE share of electricity capacity (%)","2003",21.55
"Africa","RE share of electricity capacity (%)","2004",21.26
"Africa","RE share of electricity capacity (%)","2005",20.43
"Africa","RE share of electricity capacity (%)","2006",19.88
"Africa","RE share of electricity capacity (%)","2007",19.21
"Africa","RE share of electricity capacity (%)","2008",18.92
"Africa","RE share of electricity capacity (%)","2009",19.44
"Africa","RE share of electricity capacity (%)","2010",19.19
"Africa","RE share of electricity capacity (%)","2011",18.86
"Africa","RE share of electricity capacity (%)","2012",18.73
"Africa","RE share of electricity capacity (%)","2013",19.00
"Africa","RE share of electricity capacity (%)","2014",19.28
"Africa","RE share of electricity capacity (%)","2015",19.79
"Africa","RE share of electricity capacity (%)","2016",19.70
"Africa","RE share of electricity capacity (%)","2017",20.39
"Africa","RE share of electricity capacity (%)","2018",20.52
"Africa","RE share of electricity capacity (%)","2019",20.93
"Africa","RE share of electricity capacity (%)","2020",21.60
"Africa","RE share of electricity capacity (%)","2021",21.98
"Africa","RE share of electricity capacity (%)","2022",23.38
"Africa","RE share of electricity capacity (%)","2023",25.11
"Africa","RE share of electricity capacity (%)","2024",26.21
"Africa","RE share of electricity generation (%)","2000",19.07
"Africa","RE share of electricity generation (%)","2001",19.51
"Africa","RE share of electricity generation (%)","2002",17.98
"Africa","RE share of electricity generation (%)","2003",17.31
"Africa","RE share of electricity generation (%)","2004",17.36
